% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-04
% Frequency: 37500.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00600.000  -84.15  138.04
00601.000  -84.04  139.19
00602.000  -84.20  139.04
00603.000  -83.93  138.56
00604.000  -84.28  137.89
00605.000  -84.26  139.80
00606.000  -83.91  139.95
00607.000  -84.13  139.31
00608.000  -83.99  138.22
00609.000  -83.96  137.26
00610.000  -84.03  135.91
00611.000  -83.87  136.39
00612.000  -84.05  136.86
00613.000  -83.97  137.36
00614.000  -83.92  136.56
00615.000  -83.71  137.53
00616.000  -83.89  137.05
00617.000  -83.99  136.39
00618.000  -83.91  136.05
00619.000  -83.80  137.16
00620.000  -83.82  137.25
00621.000  -83.82  135.89
00622.000  -83.84  137.06
00623.000  -83.69  136.43
00624.000  -83.87  136.77
00625.000  -83.87  138.04
00626.000  -83.58  135.20
00627.000  -83.81  136.98
00628.000  -83.91  136.64
00629.000  -83.62  134.89
00630.000  -83.83  135.05
00631.000  -83.74  134.41
00632.000  -83.69  136.64
00633.000  -83.70  136.90
00634.000  -83.58  136.20
00635.000  -83.75  135.71
00636.000  -83.84  135.68
00637.000  -83.71  134.24
00638.000  -83.91  135.40
00639.000  -83.69  134.89
00640.000  -83.81  134.82
00641.000  -83.89  135.55
00642.000  -83.56  133.21
00643.000  -83.65  135.00
00644.000  -83.60  134.50
00645.000  -83.30  135.35
00646.000  -83.51  134.48
00647.000  -83.60  135.76
00648.000  -83.58  134.57
00649.000  -83.48  135.32
00650.000  -83.49  136.25
00651.000  -83.53  135.25
00652.000  -83.59  134.42
00653.000  -83.58  135.47
00654.000  -83.63  135.32
00655.000  -83.47  135.29
00656.000  -83.61  134.14
00657.000  -83.66  132.96
00658.000  -83.63  133.65
00659.000  -83.44  134.03
00660.000  -83.41  133.62
00661.000  -83.44  135.20
00662.000  -83.55  134.74
00663.000  -83.57  134.21
00664.000  -83.29  133.44
00665.000  -83.37  132.99
00666.000  -83.20  134.38
00667.000  -83.14  132.84
00668.000  -83.35  132.76
00669.000  -83.41  132.15
00670.000  -83.45  132.99
00671.000  -83.34  133.11
00672.000  -83.31  131.95
00673.000  -83.34  131.04
00674.000  -83.21  132.71
00675.000  -83.35  132.11
00676.000  -83.27  131.43
00677.000  -83.22  131.99
00678.000  -83.19  132.71
00679.000  -83.37  131.70
00680.000  -83.41  131.01
00681.000  -83.07  129.82
00682.000  -83.27  131.38
00683.000  -83.03  131.28
00684.000  -83.14  130.40
00685.000  -83.21  130.87
00686.000  -83.30  130.15
00687.000  -83.24  130.63
00688.000  -83.09  130.39
00689.000  -83.30  131.11
00690.000  -83.26  130.92
00691.000  -83.25  131.30
00692.000  -83.31  130.86
00693.000  -83.22  131.42
00694.000  -83.07  129.98
00695.000  -83.12  129.60
00696.000  -83.13  130.99
00697.000  -83.17  130.66
00698.000  -82.99  129.32
00699.000  -83.13  130.37
00700.000  -83.24  130.15
00701.000  -83.17  128.86
00702.000  -83.06  130.56
00703.000  -83.09  129.01
00704.000  -83.19  129.26
00705.000  -83.20  128.41
00706.000  -83.12  129.09
00707.000  -83.22  127.89
00708.000  -83.41  128.86
00709.000  -83.23  129.86
00710.000  -83.11  130.16
00711.000  -83.51  128.89
00712.000  -83.55  129.24
00713.000  -83.33  129.87
00714.000  -83.46  129.50
00715.000  -83.53  130.91
00716.000  -83.52  130.03
00717.000  -83.56  129.54
00718.000  -83.56  129.70
00719.000  -83.67  128.88
00720.000  -83.84  128.84
00721.000  -83.57  129.92
00722.000  -83.60  127.82
00723.000  -83.93  127.74
00724.000  -83.80  128.81
00725.000  -83.95  129.81
00726.000  -83.72  128.16
00727.000  -83.77  128.17
00728.000  -83.90  127.49
00729.000  -83.98  128.90
00730.000  -84.00  128.91
00731.000  -83.70  127.31
00732.000  -83.81  126.77
00733.000  -83.74  127.14
00734.000  -83.82  128.92
