% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-05
% Frequency: 16400.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00595.000  -60.39  144.63
00596.000  -60.29  140.79
00597.000  -60.35  137.82
00598.000  -60.37  134.71
00599.000  -60.36  131.33
00600.000  -60.36  128.75
00601.000  -60.27  125.33
00602.000  -60.37  121.76
00603.000  -60.41  117.71
00604.000  -60.24  115.22
00605.000  -60.29  111.88
00606.000  -60.27  109.01
00607.000  -60.33  106.18
00608.000  -60.41  102.42
00609.000  -60.34   98.99
00610.000  -60.32   95.26
00611.000  -60.37   92.69
00612.000  -60.37   89.34
00613.000  -60.31   85.87
00614.000  -60.39   82.16
00615.000  -60.42   79.30
00616.000  -60.47   76.34
00617.000  -60.33   72.87
00618.000  -60.42   69.92
00619.000  -60.37   66.85
00620.000  -60.35   63.21
00621.000  -60.34   60.36
00622.000  -60.39   56.85
00623.000  -60.33   54.17
00624.000  -60.38   50.90
00625.000  -60.33   47.94
00626.000  -60.29   44.59
00627.000  -60.38   41.97
00628.000  -60.34   38.38
00629.000  -60.32   35.18
00630.000  -60.37   32.01
00631.000  -60.35   28.77
00632.000  -60.40   26.17
00633.000  -60.41   22.18
00634.000  -60.48   19.22
00635.000  -60.50   15.74
00636.000  -60.41   12.75
00637.000  -60.44    9.92
00638.000  -60.48    6.60
00639.000  -60.46    3.86
00640.000  -60.49    0.56
00641.000  -60.51   -2.85
00642.000  -60.64   -6.12
00643.000  -60.50   -9.81
00644.000  -60.49  -12.74
00645.000  -60.47  -15.43
00646.000  -60.49  -18.90
00647.000  -60.47  -22.99
00648.000  -60.57  -26.95
00649.000  -60.52  -30.33
00650.000  -60.50  -33.06
00651.000  -60.57  -37.52
00652.000  -60.57  -39.78
00653.000  -60.36  -43.92
00654.000  -60.37  -46.28
00655.000  -60.46  -50.93
00656.000  -60.52  -53.52
00657.000  -60.51  -56.72
00658.000  -60.60  -60.36
00659.000  -60.49  -63.76
00660.000  -60.55  -66.71
00661.000  -60.59  -70.07
00662.000  -60.68  -73.25
00663.000  -60.53  -76.70
00664.000  -60.64  -79.98
00665.000  -60.65  -82.79
00666.000  -60.64  -86.16
00667.000  -60.59  -88.55
00668.000  -60.58  -93.63
00669.000  -60.60  -95.57
00670.000  -60.64  -98.81
00671.000  -60.68 -102.06
00672.000  -60.66 -104.99
00673.000  -60.45 -108.41
00674.000  -60.48 -112.01
00675.000  -60.58 -115.06
00676.000  -60.48 -118.19
00677.000  -60.44 -122.22
00678.000  -60.56 -125.22
00679.000  -60.56 -128.54
00680.000  -60.47 -131.37
00681.000  -60.45 -135.01
00682.000  -60.30 -137.45
00683.000  -60.33 -141.17
00684.000  -60.40 -144.41
00685.000  -60.42 -147.49
00686.000  -60.36 -151.26
00687.000  -60.37 -154.23
00688.000  -60.36 -156.80
00689.000  -60.38 -161.39
00690.000  -60.41 -164.32
00691.000  -60.27 -168.21
00692.000  -60.38 -171.37
